,FB,FB,FB,FB,FB,SNAP,SNAP,SNAP,SNAP,SNAP,TWTR,TWTR,TWTR,TWTR,TWTR,PINS,PINS,PINS,PINS,PINS
,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v
t,,,,,,,,,,,,,,,,,,,,
1588896000,212.35000610352,213.21000671387,210.85000610352,212.24000549316,12524048,18.229999542236,18.260000228882,17.760000228882,18.180000305176,20377300,29.930000305176,29.969999313354,28.739999771118,29.090000152588,19208844,19.790000915527,19.863899230957,18.809999465942,19.0,16236312
1589155200,213.17999267578,215.0,210.36999511719,210.88999938965,12911948,18.090000152588,18.459999084473,18.010000228882,18.10000038147,17924400,29.690000534058,30.075000762939,29.331800460815,29.64999961853,13839751,18.610000610352,19.319999694824,18.570100784302,19.069999694824,16376713
1589241600,210.10000610352,215.2799987793,210.0,213.28999328613,14704647,17.379999160767,18.270000457764,17.379999160767,18.200000762939,18419600,29.14999961853,29.930000305176,29.090000152588,29.85000038147,13734496,17.760000228882,18.969999313354,17.739999771118,18.920000076294,16667194
1589328000,205.10000610352,210.7799987793,202.11000061035,209.42999267578,20684560,16.770000457764,17.579999923706,16.430000305176,17.430000305176,21877520,28.129999160767,29.659999847412,27.579999923706,29.25,19401664,16.610000610352,18.069999694824,16.540000915527,17.829999923706,18285488
1589414400,206.80999755859,206.92999267578,200.69000244141,202.55999755859,17178948,16.930000305176,17.14999961853,16.420000076294,16.64999961853,19442000,28.559999465942,28.569999694824,27.139999389648,27.829999923706,12364650,17.059999465942,17.090000152588,15.819999694824,16.430000305176,11330752
1589500800,210.88000488281,211.33999633789,204.11999511719,205.27000427246,19383154,17.10000038147,17.235000610352,16.620000839233,16.799999237061,21957700,29.0,29.229999542236,28.129999160767,28.290000915527,15939163,18.239999771118,18.280000686646,16.579999923706,16.940000534058,12741986
1589760000,213.19000244141,214.63999938965,210.94000244141,212.14999389648,20167444,17.489999771118,18.200000762939,17.459999084473,17.5,28773980,29.639999389648,30.260000228882,29.569999694824,29.790000915527,15790015,18.520000457764,18.920000076294,18.309999465942,18.920000076294,10652423
1589846400,216.88000488281,220.49000549316,212.83000183105,213.27000427246,31843152,17.479999542236,17.879999160767,17.245000839233,17.280000686646,13656100,29.879999160767,30.340000152588,29.329999923706,29.639999389648,17386160,18.659999847412,19.440000534058,18.079999923706,18.60000038147,19239044
1589932800,229.9700012207,231.33999633789,223.19000244141,223.5,50162876,18.229999542236,18.25,17.670000076294,17.670000076294,18656600,32.229999542236,32.340000152588,30.469999313354,30.469999313354,26955488,18.889999389648,19.299999237061,18.299999237061,19.069999694824,12829959
1590019200,231.38999938965,237.19999694824,231.19999694824,234.7200012207,47782636,17.549999237061,18.389999389648,17.520000457764,18.200000762939,16033200,32.340000152588,32.610000610352,31.389999389648,32.099998474121,22764164,18.690000534058,19.180000305176,18.329999923706,19.0,8308623
1590105600,234.91000366211,235.99000549316,228.74000549316,231.50999450684,33925564,17.670000076294,17.680000305176,17.290000915527,17.670000076294,12321600,32.619998931885,32.770000457764,31.77499961853,32.380001068115,13310716,18.60000038147,18.88450050354,18.129999160767,18.819999694824,7853529
1590451200,232.19999694824,240.89999389648,231.66999816895,239.77000427246,33178318,17.409999847412,18.030000686646,17.379999160767,18.0,16888000,34.009998321533,34.270000457764,33.389999389648,33.400001525879,20489328,19.5,19.670000076294,19.040000915527,19.190000534058,13178031
1590537600,229.13999938965,230.55999755859,221.13000488281,229.07000732422,34697552,17.0,17.389999389648,16.510000228882,17.389999389648,23195700,33.069999694824,34.0,32.235000610352,33.630001068115,24000380,19.110000610352,19.5,18.260000228882,19.489999771118,12345728
1590624000,225.46000671387,231.63000488281,224.0,224.30000305176,29423012,18.25,18.379999160767,16.841999053955,16.89999961853,45816200,31.60000038147,32.650001525879,31.35000038147,31.409999847412,37323844,19.799999237061,20.219999313354,18.979999542236,19.229999542236,13943445
1590710400,225.08999633789,227.49000549316,222.88000488281,225.19999694824,23322476,18.940000534058,19.010000228882,17.924999237061,18.290000915527,58897000,30.969999313354,31.610000610352,30.290000915527,31.559999465942,39427684,20.290000915527,20.319999694824,19.684999465942,19.75,12661188
1590969600,231.91000366211,232.44000244141,223.5,224.58999633789,18223840,19.549999237061,19.590000152588,18.719999313354,19.0,35081000,31.889999389648,32.099998474121,30.870000839233,31.049999237061,14583619,20.430000305176,20.540000915527,20.069999694824,20.159999847412,7965926
1591056000,232.7200012207,233.0,226.55999755859,230.94000244141,20919018,19.75,19.870000839233,19.180000305176,19.659999847412,25398000,32.259998321533,32.419998168945,31.610000610352,32.169998168945,15318429,20.510000228882,20.879999160767,19.920000076294,20.520000457764,12044939
1591142400,230.16000366211,232.64999389648,228.5299987793,232.11000061035,15380282,19.729999542236,19.760000228882,18.930000305176,19.760000228882,38326376,34.880001068115,35.029998779297,32.439998626709,32.669998168945,28396336,21.440000534058,21.629999160767,20.549999237061,20.729999542236,9419360
1591228800,226.28999328613,231.63000488281,224.61000061035,229.55999755859,17041480,19.260000228882,20.0,19.059999465942,19.430000305176,47137180,33.720001220703,34.909999847412,33.349998474121,34.470001220703,20265080,21.200000762939,22.170000076294,20.959999084473,21.389999389648,12885473
1591315200,230.77000427246,231.35000610352,225.30999755859,226.71000671387,16750438,20.329999923706,20.340000152588,19.319999694824,19.450000762939,36127200,34.869998931885,35.970001220703,34.470001220703,34.470001220703,23211536,22.129999160767,22.700000762939,21.139999389648,21.5,12161109
1591574400,231.39999389648,231.55000305176,227.41000366211,229.0299987793,15466499,20.64999961853,20.739999771118,20.069999694824,20.379999160767,20878102,36.639999389648,36.939998626709,35.75,35.959999084473,19977746,22.190000534058,22.559999465942,21.549999237061,22.049999237061,19721656
1591660800,238.66999816895,239.77000427246,230.41000366211,231.52000427246,27462872,21.090000152588,21.139999389648,20.420000076294,20.459999084473,27243400,35.919998168945,36.189998626709,35.169998168945,35.979999542236,17840740,22.040000915527,22.729999542236,21.709999084473,21.75,9601503
1591747200,236.72999572754,241.21000671387,235.2799987793,240.96000671387,20720708,21.200000762939,21.360000610352,20.299999237061,21.239999771118,33295700,35.139999389648,36.439998626709,34.900001525879,36.119998931885,17480658,22.409999847412,22.530000686646,21.39999961853,21.829999923706,12002141
1591833600,224.42999267578,232.88999938965,223.55000305176,229.94000244141,26708164,19.709999084473,20.930000305176,19.629999160767,20.090000152588,39308164,33.029998779297,34.439998626709,32.779998779297,33.110000610352,23727860,20.260000228882,21.510000228882,20.25,20.780000686646,12345484
1591920000,228.58000183105,231.66000366211,224.5,229.89999389648,22091388,20.180000305176,20.440000534058,19.639999389648,20.420000076294,24757000,33.400001525879,34.170101165771,32.470001220703,33.939998626709,14709354,20.889999389648,21.299999237061,20.35000038147,21.0,10025136
1592179200,232.5,233.77000427246,224.80000305176,225.08999633789,15340264,20.75,20.790000915527,19.75,19.829999923706,16289443,34.110000610352,34.189998626709,32.880001068115,32.900001525879,19342186,21.14999961853,21.309999465942,20.10000038147,20.159999847412,11305265
1592265600,235.64999389648,238.46000671387,233.0,237.13999938965,15236691,20.89999961853,21.454999923706,20.635000228882,21.299999237061,20525100,34.630001068115,35.459999084473,34.209999084473,35.139999389648,20049960,22.200000762939,22.25,21.319999694824,21.989999771118,8359201
1592352000,235.5299987793,237.58999633789,231.72999572754,235.0,19578124,21.819999694824,21.940000534058,20.870000839233,20.989999771118,24852056,34.340000152588,34.799999237061,34.110000610352,34.409999847412,12266135,22.39999961853,22.579999923706,21.420000076294,22.14999961853,15646869
1592438400,235.94000244141,236.13999938965,232.14999389648,234.99000549316,15782452,21.989999771118,22.0,21.680000305176,21.719999313354,17778054,34.029998779297,34.439998626709,33.860000610352,34.25,10543562,23.059999465942,23.309999465942,22.25,22.25,18077628
1592524800,238.78999328613,240.83000183105,235.55000305176,237.78999328613,30081292,22.659999847412,22.694999694824,21.950000762939,22.409999847412,33297100,33.409999847412,34.944999694824,33.400001525879,34.639999389648,19345480,23.209999084473,24.35000038147,23.200000762939,23.370000839233,20789236
